data-season	data-episode	prime-season	prime-episode	prime-link	netflix-season	netflix-episode	netflix-link
3	11	3	11	https://www.primevideo.com/detail/0JP4SEL12VLKKL9M5NFG0ZRAGA?autoplay=1	3	11	https://www.netflix.com/watch/81439369
3	12	3	12	https://www.primevideo.com/detail/0MW80EIYE64NDHGM5P4VVKATA5?autoplay=1	3	12	https://www.netflix.com/watch/81439370
3	13	3	13	https://www.primevideo.com/detail/0SXM3IEZFZWZY4YXTYDFGIE2MT?autoplay=1	3	13	https://www.netflix.com/watch/81439371
3	14	4	1	https://www.primevideo.com/detail/0STCN7Z2N8BUL1SO262O0K85VR?autoplay=1	4	1	https://www.netflix.com/watch/81439372
3	15	4	2	https://www.primevideo.com/detail/0SKTQMN8UXAZ7VC4VHZZB8PWFX?autoplay=1	4	2	https://www.netflix.com/watch/81439373
3	16	4	3	https://www.primevideo.com/detail/0GZ3DLIWI420JE5LLHOE5ASRCX?autoplay=1	4	3	https://www.netflix.com/watch/81439374
3	17	4	4	https://www.primevideo.com/detail/0PZ1S40Z3THL0WAECILEOAAMIH?autoplay=1	4	4	https://www.netflix.com/watch/81439375
3	18	4	5	https://www.primevideo.com/detail/0GZ3DLIWV9OG2Z53BWLSAO2FSC?autoplay=1	4	5	https://www.netflix.com/watch/81439376
3	19	4	6	https://www.primevideo.com/detail/0III9G5WOZJ4PO97E9ODJARBKT?autoplay=1	4	6	https://www.netflix.com/watch/81439377
3	20	4	7	https://www.primevideo.com/detail/0R5OB2O7VX5NGBT0WINXCLLXQK?autoplay=1	4	7	https://www.netflix.com/watch/81439378
3	21	4	8	https://www.primevideo.com/detail/0TRG9LAJ03KK0EC2XJ6MI1V95M?autoplay=1	4	8	https://www.netflix.com/watch/81439379
3	22	4	9	https://www.primevideo.com/detail/0N0HGPEZCE03RM5OWNUTMK1LZG?autoplay=1	4	9	https://www.netflix.com/watch/81439380
3	23	4	10	https://www.primevideo.com/detail/0IMRPQTVD2GS31ENF33EFGTUKQ?autoplay=1	4	10	https://www.netflix.com/watch/81439381
3	24	4	11	https://www.primevideo.com/detail/0QSVY6OIH8JG91L00GUPGE8OSA?autoplay=1	4	11	https://www.netflix.com/watch/81439382
3	25	4	12	https://www.primevideo.com/detail/0ND9TLES2T8WWVKJATL0FP1OIP?autoplay=1	4	12	https://www.netflix.com/watch/81439383
3	26	4	13	https://www.primevideo.com/detail/0IVAMC5QY3YVDVEDLB283ARCWK?autoplay=1	4	13	https://www.netflix.com/watch/81439384
3	27	4	14	https://www.primevideo.com/detail/0RZIH5BQXTZIMIXBC0AMQSJWXN?autoplay=1	4	14	https://www.netflix.com/watch/81439385
3	28	4	15	https://www.primevideo.com/detail/0RMQ49BZL0WLCF17UEBQA2H8RY?autoplay=1	4	15	https://www.netflix.com/watch/81439386
3	29	4	16	https://www.primevideo.com/detail/0KAG1W4V4NPYXA1Y4TJ906D7U4?autoplay=1	4	16	https://www.netflix.com/watch/81439387
3	30	4	17	https://www.primevideo.com/detail/0NLSQ6QODCKBEIN1PLB7W4C4AT?autoplay=1	4	17	https://www.netflix.com/watch/81439388
3	31	4	18	https://www.primevideo.com/detail/0PUSBTD7NI2IJNQIROZL0232WD?autoplay=1	4	18	https://www.netflix.com/watch/81439389
3	32	4	19	https://www.primevideo.com/detail/0MAWQXFK1AIB03E8HD3JZHSIV5?autoplay=1	4	19	https://www.netflix.com/watch/81439390
